Season	1	2	3	4
Spring	0.1669995572308376	0.518588094871998	0.5905448717948716	0.4694628693083918
Summer	0.5671180369713991	0.15820003406147254	0.28986378205128194	0.7404859295418825
Autumn	0.6850636433568524	0.46431345450915484	0.056770833333333146	0.289308764872221
Winter	0.38588383284261346	0.7176426530202301	0.39884868421052616	0.1558619951805566
