	Accession org1	Taxonomic level 1: org1	Taxonomic level 2: org1	Taxonomic level 3: org1	Genus org1	Species org1	Accession org2	Taxonomic level 1: org2	Taxonomic level 2: org2	Taxonomic level 3: org2	Genus org2	Species org2	Reference 	Link	Ecological interaction	key_org1	key_org2	lineage_org1	lineage_org2
1097		Eukaryote	Alveolata	Dinoflagellata	Ornithocercus	magnificus		Prokaryote	Proteobacteria	Gammaproteobacteria	unknown_gammaproteobacteria	unknown_gammaproteobacteria	Farnelid 2010	10.3354/ame01440	nitrogen fixation	Eukaryote;Alveolata;Dinoflagellata;Ornithocercus;magnificus	Bacteria;Proteobacteria;Gammaproteobacteria;unknown_gammaproteobacteria;unknown_gammaproteobacteria	[4, 8770, 8771, 9217, 9219, 9226, 0, 9229]	[3, 2375, 3303, 0, 0, 0]
1098		Eukaryote	Alveolata	Dinoflagellata	Ornithocercus	quadratus		Prokaryote	Proteobacteria	Gammaproteobacteria	unknown_gammaproteobacteria	unknown_gammaproteobacteria	Farnelid 2010	10.3354/ame01440	nitrogen fixation	Eukaryote;Alveolata;Dinoflagellata;Ornithocercus;quadratus	Bacteria;Proteobacteria;Gammaproteobacteria;unknown_gammaproteobacteria;unknown_gammaproteobacteria	[4, 8770, 8771, 9217, 9219, 9226, 0, 9229]	[3, 2375, 3303, 0, 0, 0]
1099		Eukaryote	Alveolata	Dinoflagellata	Ornithocercus	steinii		Prokaryote	Proteobacteria	Gammaproteobacteria	unknown_gammaproteobacteria	unknown_gammaproteobacteria	Farnelid 2010	10.3354/ame01440	nitrogen fixation	Eukaryote;Alveolata;Dinoflagellata;Ornithocercus;steinii	Bacteria;Proteobacteria;Gammaproteobacteria;unknown_gammaproteobacteria;unknown_gammaproteobacteria	[4, 8770, 8771, 9217, 9219, 9226, 0, 9229]	[3, 2375, 3303, 0, 0, 0]
1100		Eukaryote	Alveolata	Ciliophora	Strombidium	purpureum		Prokaryote	Proteobacteria	Alphaproteobacteria	unknown_alphaproteobacter	unknown_alphaproteobacter	Fenchel & Bernard 1993	10.1111/j.1574-6968.1993.tb06289.x	photosymbiosis	Eukaryote;Alveolata;Ciliophora;Strombidium;purpureum	Bacteria;Proteobacteria;Alphaproteobacteria;unknown_alphaproteobacter;unknown_alphaproteobacter	[4, 8770, 8771, 8848, 8849, 9096, 9185, 9189]	[3, 2375, 2379, 0, 0, 0]
1101		Eukaryote	Rhizaria	Polycystinea	Dictyocoryne	truncatum		Prokaryote	Cyanobacteria	Cyanophyceae	unknown_cyanophyte	unknown_cyanophyte	Foster et al. 2006 b	10.1111/j.1529-8817.2006.00206.x	photosymbiosis	Eukaryote;Rhizaria;Polycystinea;Dictyocoryne;truncatum	Bacteria;Cyanobacteria;Cyanophyceae;unknown_cyanophyte;unknown_cyanophyte	[4, 8770, 9387, 9540, 9591, 0, 0, 0]	[3, 1500, 44560, 0, 0, 0]
1102		Eukaryote	Rhizaria	Polycystinea	Spongostaurus			Prokaryote	Cyanobacteria	Cyanophyceae	unknown_cyanophyte	unknown_cyanophyte	Foster et al. 2006 b	10.1111/j.1529-8817.2006.00206.x	photosymbiosis	Eukaryote;Rhizaria;Polycystinea;Spongostaurus	Bacteria;Cyanobacteria;Cyanophyceae;unknown_cyanophyte;unknown_cyanophyte	[4, 8770, 9387, 9540, 9591, 0, 0, 0]	[3, 1500, 44560, 0, 0, 0]
1103	AB353770	Eukaryote	Alveolata	Dinoflagellata	Peridiniopsis	cf_kevei	AB353772	Eukaryote	Stramenopiles	Diatomea	unknown_diatom	unknown_diatom	Takano et al. 2008	10.2216/07-36.1	photosymbiosis	Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniphycidae;Peridiniales;Peridiniopsis;Peridiniopsis cf. kevei	Eukaryota;SAR;Stramenopiles;Ochrophyta;Diatomea;Bacillariophytina;Mediophyceae;Discostella;Peridiniopsis cf. kevei diatom endosymbiont	[4, 8770, 8771, 9217, 9219, 9295, 0, 9311]	[4, 8770, 9629, 9782, 9842, 0, 0, 9854]
1104	HM596543	Eukaryote	Alveolata	Dinoflagellata	Peridiniopsis	penardii	HM596548	Eukaryote	Stramenopiles	Diatomea	unknown_diatom	unknown_diatom	Zhang et al. 2011	10.1016/j.ejop.2011.03.001	photosymbiosis	Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniphycidae;Peridiniales;Peridiniopsis;Unruhdinium penardii	Eukaryota;SAR;Stramenopiles;Ochrophyta;Diatomea;Bacillariophytina;Mediophyceae;Discostella;Peridiniopsis penardii diatom endosymbiont	[4, 8770, 8771, 9217, 9219, 9295, 0, 9311]	[4, 8770, 9629, 9782, 9842, 0, 0, 9854]
1105		Eukaryote	Centrohelida	Actinophryidae	Actinophrys	sol		Prokaryote	unidentified_bacteria	unidentified_bacteria	unidentified_bacteria	unidentified_bacteria	Bell et al. 2006	10.1111/j.1365-2427.2006.01561.x	predation	Eukaryote;Centrohelida;Actinophryidae;Actinophrys;sol	Bacteria;unidentified_bacteria;unidentified_bacteria;unidentified_bacteria;unidentified_bacteria	[4, 46848, 46849, 46858, 0, 0, 0, 0]	[3, 0, 0, 0, 0, 0]
1106		Eukaryote	Obazoa	Apusomonadida	Thecamonas	trahens		Prokaryote	Proteobacteria	Gammaproteobacteria	Pseudomonas		Heiss et al. 2013	https://doi.org/10.1016/j.protis.2013.05.005	predation	Eukaryote;Obazoa;Apusomonadida;Thecamonas;trahens	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonas	[4, 46848, 0, 0, 0, 0, 0, 0]	[3, 2375, 3303, 3709, 3718, 3723]
1107	KP996852	Eukaryote	Obazoa	Apusomonadida	Multimonas	media		Prokaryote	unidentified_bacteria	unidentified_bacteria	unidentified_bacteria	unidentified_bacteria	Heiss et al. 2015	10.1111/jeu.12220	predation	Eukaryota;Amorphea;Amoebozoa;Incertae Sedis;Apusomonadidae;Multimonas;Multimonas media	Bacteria;unidentified_bacteria;unidentified_bacteria;unidentified_bacteria;unidentified_bacteria	[4, 46848, 46849, 46900, 0, 0, 0, 46903]	[3, 0, 0, 0, 0, 0]
1108	KP996851	Eukaryote	Obazoa	Apusomonadida	Multimonas	koreensis		Prokaryote	unidentified_bacteria	unidentified_bacteria	unidentified_bacteria	unidentified_bacteria	Heiss et al. 2015	10.1111/jeu.12220	predation	Eukaryota;Amorphea;Amoebozoa;Incertae Sedis;Apusomonadidae;Multimonas;Multimonas koreensis	Bacteria;unidentified_bacteria;unidentified_bacteria;unidentified_bacteria;unidentified_bacteria	[4, 46848, 46849, 46900, 0, 0, 0, 46903]	[3, 0, 0, 0, 0, 0]
1109	KP996850	Eukaryote	Obazoa	Apusomonadida	Chelonemonas	masanensis		Prokaryote	unidentified_bacteria	unidentified_bacteria	unidentified_bacteria	unidentified_bacteria	Heiss et al. 2015	10.1111/jeu.12220	predation	Eukaryota;Incertae Sedis;Apusomonadidae;Chelonemonas;Chelonemonas masanensis	Bacteria;unidentified_bacteria;unidentified_bacteria;unidentified_bacteria;unidentified_bacteria	[4, 0, 6406, 6409, 0, 0, 0, 14782]	[3, 0, 0, 0, 0, 0]
1110	KP996849	Eukaryote	Obazoa	Apusomonadida	Chelonemonas	geobuk		Prokaryote	unidentified_bacteria	unidentified_bacteria	unidentified_bacteria	unidentified_bacteria	Heiss et al. 2015	10.1111/jeu.12220	predation	Eukaryota;Incertae Sedis;Apusomonadidae;Chelonemonas;Chelonemonas geobuk	Bacteria;unidentified_bacteria;unidentified_bacteria;unidentified_bacteria;unidentified_bacteria	[4, 0, 6406, 6409, 0, 0, 0, 14782]	[3, 0, 0, 0, 0, 0]
1111		Eukaryote	Stramenopiles	Bicosoecida	Cafeteria			Prokaryote	Firmicutes	Bacilli	Bacillus	subtilis	Boenigk et al. 2001	10.1007/s002480000116	predation	Eukaryote;Stramenopiles;Bicosoecida;Cafeteria	Bacteria;Firmicutes;Bacilli;Bacillus;subtilis	[4, 8770, 9629, 9630, 0, 0, 0, 9634]	[3, 1672, 1673, 1674, 1680, 1688]
1112		Eukaryote	Stramenopiles	Bicosoecida	Cafeteria			Prokaryote	Cyanobacteria	Cyanophyceae	Synechococcus	elongatus	Boenigk et al. 2001	10.1007/s002480000116	predation	Eukaryote;Stramenopiles;Bicosoecida;Cafeteria	Bacteria;Cyanobacteria;Cyanophyceae;Synechococcus;elongatus	[4, 8770, 9629, 9630, 0, 0, 0, 9634]	[3, 1500, 44560, 44842, 44845, 44848]
1113		Eukaryote	Stramenopiles	Bicosoecida	Cafeteria			Prokaryote	Proteobacteria	Gammaproteobacteria	Pseudomonas	putida	Boenigk et al. 2001	10.1007/s002480000116	predation	Eukaryote;Stramenopiles;Bicosoecida;Cafeteria	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonas;putida	[4, 8770, 9629, 9630, 0, 0, 0, 9634]	[3, 2375, 3303, 3709, 3718, 3723]
1114		Eukaryote	Stramenopiles	Bicosoecida	Pseudobodo	tremulans		Prokaryote	Proteobacteria	Gammaproteobacteria	Vibrio		Davies & Sieburth 1984	http://www.int-res.com/articles/meps/19/m019p237.pdf	predation	Eukaryote;Stramenopiles;Bicosoecida;Pseudobodo;tremulans	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrio	[4, 8770, 9629, 9630, 0, 0, 0, 9639]	[3, 2375, 3303, 3775, 3776, 3783]
