	Accession org1	Taxonomic level 1: org1	Taxonomic level 2: org1	Taxonomic level 3: org1	Genus org1	Species org1	Accession org2	Taxonomic level 1: org2	Taxonomic level 2: org2	Taxonomic level 3: org2	Genus org2	Species org2	Reference 	Link	Ecological interaction	key_org1	key_org2	lineage_org1	lineage_org2
0		Eukaryote	Alveolata	Dinoflagellata	Histioneis	milneri		Prokaryote	Cyanobacteria	Cyanophyceae	unknown_cyanophyte	unknown_cyanophyte	Gordon 1994	http://www.jstor.org/stable/24844780	nitrogen fixation	Eukaryote;Alveolata;Dinoflagellata;Histioneis;milneri	Bacteria;Cyanobacteria;Cyanophyceae;unknown_cyanophyte;unknown_cyanophyte	[4, 8770, 8771, 9217, 0, 0, 0, 0]	[3, 1500, 44560, 0, 0, 0]
1		Eukaryote	Alveolata	Ciliophora	Euplotidium	itoi		Prokaryote	Verrucomicrobia	unknown_verrucomicrobia	unknown_verrucomicrobia	unknown_verrucomicrobia	Petroni et al. 2000	10.1073/pnas.030438197	host defense	Eukaryote;Alveolata;Ciliophora;Euplotidium;itoi	Bacteria;Verrucomicrobia;unknown_verrucomicrobia;unknown_verrucomicrobia;unknown_verrucomicrobia	[4, 8770, 8771, 8848, 8849, 9096, 9118, 9125]	[3, 0, 0, 0, 0, 0]
2	Y19166	Eukaryote	Alveolata	Ciliophora	Euplotidium	arenarium	Y19169	Prokaryote	Verrucomicrobia	unknown_verrucomicrobia	unknown_verrucomicrobia	unknown_verrucomicrobia	Petroni et al. 2000	10.1073/pnas.030438197	host defense	Eukaryota;SAR;Alveolata;Ciliophora;Intramacronucleata;Spirotrichea;Euplotia;Euplotidium;Euplotidium arenarium	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Puniceicoccaceae;Epixenosomes of Euplotidium arenarium	[4, 8770, 8771, 8848, 8849, 9096, 9118, 9125]	[3, 46698, 46771, 46791, 46801, 0]
3	KT023596	Eukaryote	Obazoa	Breviatea	Lenisia	limosa		Prokaryote	Proteobacteria	Epsilonproteobacteria	Arcrobacter		Hamann et al. 2016	10.1038/nature18297	hydrogen-oxidizing symbiont	Eukaryota;Eukaryota sp. EH-2015	Bacteria;Proteobacteria;Epsilonproteobacteria;Arcrobacter	[4, 0, 0, 0, 0, 0, 0, 0]	[3, 2375, 0, 0, 0, 0]
4		Eukaryote	Alveolata	Ciliophora	Plagiopyla	nasuta		Prokaryote	Archaea	Methanobacteria	Methanobacterium	formicium	Goosen et al. 1988	10.1007/BF00425157	methanogenic symbiont	Eukaryote;Alveolata;Ciliophora;Plagiopyla;nasuta	Archaea;Methanobacteria;Methanobacterium;formicium	[4, 8770, 8771, 8848, 8849, 8863, 9012, 9019]	[2, 55, 119, 120, 121, 122]
5		Eukaryote	Alveolata	Ciliophora	Metopus	striatus		Prokaryote	Archaea	Methanobacteria	Methanobacterium	formicium	van Bruggen et al. 1984	10.1007/BF00692703	methanogenic symbiont	Eukaryote;Alveolata;Ciliophora;Metopus;striatus	Archaea;Methanobacteria;Methanobacterium;formicium	[4, 8770, 8771, 8848, 8849, 8850, 8851, 8854]	[2, 55, 119, 120, 121, 122]
6		Eukaryote	Alveolata	Ciliophora	Trimyema	compressum		Prokaryote	Archaea	Methanobacteria	Methanobacterium	formicium	Wagener et al. 1990	10.1007/BF00248433	methanogenic symbiont	Eukaryote;Alveolata;Ciliophora;Trimyema;compressum	Archaea;Methanobacteria;Methanobacterium;formicium	[4, 8770, 8771, 8848, 8849, 8863, 9012, 9021]	[2, 55, 119, 120, 121, 122]
7	AB285526	Eukaryote	Alveolata	Ciliophora	Trimyema	compressum	AB118591	Prokaryote	Archaea	Methanobacteria	Methanobrevibacter		Shinzato et al. 2007	10.1007/s00248-007-9218-1	methanogenic symbiont	Eukaryota;SAR;Alveolata;Ciliophora;Intramacronucleata;Conthreep;Plagiopylea;Plagiopylida;Trimyema;Trimyema compressum	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;endosymbiont 'TS1' of Trimyema compressum	[4, 8770, 8771, 8848, 8849, 8863, 9012, 9021]	[2, 55, 119, 120, 121, 123]
8		Eukaryote	Alveolata	Ciliophora	Nyctotherus	ovalis	AJ132639	Prokaryote	Archaea	Methanobacteria	Methanobrevibacter		van Hoek et al. 2000	10.1093/oxfordjournals.molbev.a026304	methanogenic symbiont	Eukaryote;Alveolata;Ciliophora;Nyctotherus;ovalis	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;methanogenic endosymbiont of Nyctotherus ovalis	[4, 8770, 8771, 8848, 8849, 8850, 8858, 8861]	[2, 55, 119, 120, 121, 123]
9		Eukaryote	Alveolata	Ciliophora	Nyctotherus	ovalis	AJ132640	Prokaryote	Archaea	Methanobacteria	Methanobrevibacter		van Hoek et al. 2000	10.1093/oxfordjournals.molbev.a026304	methanogenic symbiont	Eukaryote;Alveolata;Ciliophora;Nyctotherus;ovalis	Archaea;Methanobacteria;Methanobrevibacter	[4, 8770, 8771, 8848, 8849, 8850, 8858, 8861]	[2, 55, 119, 120, 121, 123]
10		Eukaryote	Alveolata	Ciliophora	Nyctotherus	ovalis	AJ132641	Prokaryote	Archaea	Methanobacteria	Methanobrevibacter		van Hoek et al. 2000	10.1093/oxfordjournals.molbev.a026304	methanogenic symbiont	Eukaryote;Alveolata;Ciliophora;Nyctotherus;ovalis	Archaea;Methanobacteria;Methanobrevibacter	[4, 8770, 8771, 8848, 8849, 8850, 8858, 8861]	[2, 55, 119, 120, 121, 123]
11		Eukaryote	Alveolata	Ciliophora	Nyctotherus	ovalis	AJ132642	Prokaryote	Archaea	Methanobacteria	Methanobrevibacter		van Hoek et al. 2000	10.1093/oxfordjournals.molbev.a026304	methanogenic symbiont	Eukaryote;Alveolata;Ciliophora;Nyctotherus;ovalis	Archaea;Methanobacteria;Methanobrevibacter	[4, 8770, 8771, 8848, 8849, 8850, 8858, 8861]	[2, 55, 119, 120, 121, 123]
12		Eukaryote	Alveolata	Ciliophora	Nyctotherus	ovalis	AJ132643	Prokaryote	Archaea	Methanobacteria	Methanobrevibacter		van Hoek et al. 2000	10.1093/oxfordjournals.molbev.a026304	methanogenic symbiont	Eukaryote;Alveolata;Ciliophora;Nyctotherus;ovalis	Archaea;Methanobacteria;Methanobrevibacter	[4, 8770, 8771, 8848, 8849, 8850, 8858, 8861]	[2, 55, 119, 120, 121, 123]
13		Eukaryote	Alveolata	Ciliophora	Nyctotherus	ovalis	AJ132644	Prokaryote	Archaea	Methanobacteria	Methanobrevibacter		van Hoek et al. 2000	10.1093/oxfordjournals.molbev.a026304	methanogenic symbiont	Eukaryote;Alveolata;Ciliophora;Nyctotherus;ovalis	Archaea;Methanobacteria;Methanobrevibacter	[4, 8770, 8771, 8848, 8849, 8850, 8858, 8861]	[2, 55, 119, 120, 121, 123]
14		Eukaryote	Alveolata	Ciliophora	Nyctotherus	ovalis	AJ132645	Prokaryote	Archaea	Methanobacteria	Methanobrevibacter		van Hoek et al. 2000	10.1093/oxfordjournals.molbev.a026304	methanogenic symbiont	Eukaryote;Alveolata;Ciliophora;Nyctotherus;ovalis	Archaea;Methanobacteria;Methanobrevibacter	[4, 8770, 8771, 8848, 8849, 8850, 8858, 8861]	[2, 55, 119, 120, 121, 123]
15		Eukaryote	Alveolata	Ciliophora	Nyctotherus	cordiformis	AJ132646	Prokaryote	Archaea	Methanobacteria	Methanobrevibacter		van Hoek et al. 2000	10.1093/oxfordjournals.molbev.a026304	methanogenic symbiont	Eukaryote;Alveolata;Ciliophora;Nyctotherus;cordiformis	Archaea;Methanobacteria;Methanobrevibacter	[4, 8770, 8771, 8848, 8849, 8850, 8858, 8861]	[2, 55, 119, 120, 121, 123]
16		Eukaryote	Alveolata	Ciliophora	Nyctotherus	velox	AJ132647	Prokaryote	Archaea	Methanobacteria	Methanobrevibacter		van Hoek et al. 2000	10.1093/oxfordjournals.molbev.a026304	methanogenic symbiont	Eukaryote;Alveolata;Ciliophora;Nyctotherus;velox	Archaea;Methanobacteria;Methanobrevibacter	[4, 8770, 8771, 8848, 8849, 8850, 8858, 8861]	[2, 55, 119, 120, 121, 123]
17		Eukaryote	Alveolata	Ciliophora	Nyctotherus	cordiformis	AJ238131	Prokaryote	Archaea	Methanobacteria	Methanobrevibacter		van Hoek et al. 2000	10.1093/oxfordjournals.molbev.a026304	methanogenic symbiont	Eukaryote;Alveolata;Ciliophora;Nyctotherus;cordiformis	Archaea;Methanobacteria;Methanobrevibacter	[4, 8770, 8771, 8848, 8849, 8850, 8858, 8861]	[2, 55, 119, 120, 121, 123]
18		Eukaryote	Alveolata	Ciliophora	Metopus	contortus	Z13957	Prokaryote	Archaea	Methanomicrobia	Methanocorpusculum		Embley et al 1992	10.1111/j.1574-6968.1992.tb05439.x	methanogenic symbiont	Eukaryote;Alveolata;Ciliophora;Metopus;contortus	Archaea;Methanomicrobia;Methanocorpusculum	[4, 8770, 8771, 8848, 8849, 8850, 8851, 8854]	[2, 42963, 43051, 43052, 43053, 43055]
19		Eukaryote	Alveolata	Ciliophora	Trimyema		Z16412	Prokaryote	Archaea	Methanomicrobia	Methanocorpusculum		Finlay et al. 1992	10.1099/00221287-139-2-371	methanogenic symbiont	Eukaryote;Alveolata;Ciliophora;Trimyema	Archaea;Methanomicrobia;Methanocorpusculum	[4, 8770, 8771, 8848, 8849, 8863, 9012, 9021]	[2, 42963, 43051, 43052, 43053, 43055]
20		Eukaryote	Alveolata	Ciliophora	Metopus	contortus		Prokaryote	Archaea	Methanomicrobia	Methanoplanus	endosymbiosus	van Bruggen et al. 1986	10.1007/BF00409886	methanogenic symbiont	Eukaryote;Alveolata;Ciliophora;Metopus;contortus	Archaea;Methanomicrobia;Methanoplanus;endosymbiosus	[4, 8770, 8771, 8848, 8849, 8850, 8851, 8854]	[2, 42963, 43051, 43052, 43056, 43062]
21		Eukaryote	Alveolata	Ciliophora	unknown_ciliate	unknown_ciliate	AJ132648	Prokaryote	Archaea	Methanomicrobia	unknown_methanomicrobia	unknown_methanomicrobia	van Hoek et al. 2000	10.1093/oxfordjournals.molbev.a026304	methanogenic symbiont	Eukaryote;Alveolata;Ciliophora;unknown_ciliate;unknown_ciliate	Archaea;Methanomicrobia;unknown_methanomicrobia;unknown_methanomicrobia	[4, 8770, 8771, 8848, 0, 0, 0, 0]	[2, 42963, 43051, 0, 0, 0]
22		Eukaryote	Alveolata	Ciliophora	unknown_ciliate	unknown_ciliate	AJ132649	Prokaryote	Archaea	Methanomicrobia	unknown_methanomicrobia	unknown_methanomicrobia	van Hoek et al. 2000	10.1093/oxfordjournals.molbev.a026304	methanogenic symbiont	Eukaryote;Alveolata;Ciliophora;unknown_ciliate;unknown_ciliate	Archaea;Methanomicrobia;unknown_methanomicrobia;unknown_methanomicrobia	[4, 8770, 8771, 8848, 0, 0, 0, 0]	[2, 42963, 43051, 0, 0, 0]
23		Eukaryote	Alveolata	Ciliophora	unknown_ciliate	unknown_ciliate	AJ132650	Prokaryote	Archaea	Methanomicrobia	unknown_methanomicrobia	unknown_methanomicrobia	van Hoek et al. 2000	10.1093/oxfordjournals.molbev.a026304	methanogenic symbiont	Eukaryote;Alveolata;Ciliophora;unknown_ciliate;unknown_ciliate	Archaea;Methanomicrobia;unknown_methanomicrobia;unknown_methanomicrobia	[4, 8770, 8771, 8848, 0, 0, 0, 0]	[2, 42963, 43051, 0, 0, 0]
24		Eukaryote	Alveolata	Ciliophora	Brachonella		AJ132654	Prokaryote	Archaea	Methanomicrobia	unknown_methanomicrobia	unknown_methanomicrobia	van Hoek et al. 2000	10.1093/oxfordjournals.molbev.a026304	methanogenic symbiont	Eukaryote;Alveolata;Ciliophora;Brachonella	Archaea;Methanomicrobia;unknown_methanomicrobia;unknown_methanomicrobia	[4, 8770, 8771, 8848, 8849, 8850, 8851, 8852]	[2, 42963, 43051, 0, 0, 0]
25		Eukaryote	Alveolata	Ciliophora	Brachonella		AJ132655	Prokaryote	Archaea	Methanomicrobia	unknown_methanomicrobia	unknown_methanomicrobia	van Hoek et al. 2000	10.1093/oxfordjournals.molbev.a026304	methanogenic symbiont	Eukaryote;Alveolata;Ciliophora;Brachonella	Archaea;Methanomicrobia;unknown_methanomicrobia;unknown_methanomicrobia	[4, 8770, 8771, 8848, 8849, 8850, 8851, 8852]	[2, 42963, 43051, 0, 0, 0]
26		Eukaryote	Alveolata	Ciliophora	Caenomorpha		AJ132651	Prokaryote	Archaea	Methanomicrobia	unknown_methanomicrobia	unknown_methanomicrobia	van Hoek et al. 2000	10.1093/oxfordjournals.molbev.a026304	methanogenic symbiont	Eukaryote;Alveolata;Ciliophora;Caenomorpha	Archaea;Methanomicrobia;unknown_methanomicrobia;unknown_methanomicrobia	[4, 8770, 8771, 8848, 8849, 8850, 8851, 8853]	[2, 42963, 43051, 0, 0, 0]
27		Eukaryote	Alveolata	Ciliophora	Caenomorpha		AJ132652	Prokaryote	Archaea	Methanomicrobia	unknown_methanomicrobia	unknown_methanomicrobia	van Hoek et al. 2000	10.1093/oxfordjournals.molbev.a026304	methanogenic symbiont	Eukaryote;Alveolata;Ciliophora;Caenomorpha	Archaea;Methanomicrobia;unknown_methanomicrobia;unknown_methanomicrobia	[4, 8770, 8771, 8848, 8849, 8850, 8851, 8853]	[2, 42963, 43051, 0, 0, 0]
28		Eukaryote	Alveolata	Ciliophora	Caenomorpha		AJ132653	Prokaryote	Archaea	Methanomicrobia	unknown_methanomicrobia	unknown_methanomicrobia	van Hoek et al. 2000	10.1093/oxfordjournals.molbev.a026304	methanogenic symbiont	Eukaryote;Alveolata;Ciliophora;Caenomorpha	Archaea;Methanomicrobia;unknown_methanomicrobia;unknown_methanomicrobia	[4, 8770, 8771, 8848, 8849, 8850, 8851, 8853]	[2, 42963, 43051, 0, 0, 0]
29		Eukaryote	Alveolata	Dinoflagellata	Amphiprora	kufferathii	EF490378	Prokaryote	Bacteroidetes	Flavobacteriia	Pibocella		Hünken 2008	10.1111/j.1438-8677.2008.00040.x	mutualism	Eukaryote;Alveolata;Dinoflagellata;Amphiprora;kufferathii	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Maribacter;Pibocella sp. MH-2007/2	[4, 8770, 8771, 9217, 0, 0, 0, 0]	[3, 43868, 43869, 44160, 44183, 44249]
30		Eukaryote	Alveolata	Dinoflagellata	Histioneis	para		Prokaryote	Cyanobacteria	Cyanophyceae	unknown_cyanophyte	unknown_cyanophyte	Gordon 1994	http://www.jstor.org/stable/24844780	nitrogen fixation	Eukaryote;Alveolata;Dinoflagellata;Histioneis;para	Bacteria;Cyanobacteria;Cyanophyceae;unknown_cyanophyte;unknown_cyanophyte	[4, 8770, 8771, 9217, 0, 0, 0, 0]	[3, 1500, 44560, 0, 0, 0]
31		Eukaryote	Alveolata	Dinoflagellata	Histioneis	dulvia		Prokaryote	Cyanobacteria	Cyanophyceae	unknown_cyanophyte	unknown_cyanophyte	Gordon 1994	http://www.jstor.org/stable/24844780	nitrogen fixation	Eukaryote;Alveolata;Dinoflagellata;Histioneis;dulvia	Bacteria;Cyanobacteria;Cyanophyceae;unknown_cyanophyte;unknown_cyanophyte	[4, 8770, 8771, 9217, 0, 0, 0, 0]	[3, 1500, 44560, 0, 0, 0]
32		Eukaryote	Stramenopiles	Diatomea	Hemiaulus			Prokaryote	Cyanobacteria	Cyanophyceae	Richelia	intracellularis	Foster et al 2011	10.1038/ismej.2011.26	nitrogen fixation	Eukaryote;Stramenopiles;Diatomea;Hemiaulus	Bacteria;Cyanobacteria;Cyanophyceae;Richelia;intracellularis	[4, 8770, 9629, 9782, 0, 0, 0, 0]	[3, 1500, 44560, 0, 0, 0]
33		Eukaryote	Stramenopiles	Diatomea	Chaetoceros			Prokaryote	Cyanobacteria	Cyanophyceae	Calothrix	rhizosolenia	Foster et al 2011	10.1038/ismej.2011.26	nitrogen fixation	Eukaryote;Stramenopiles;Diatomea;Chaetoceros	Bacteria;Cyanobacteria;Cyanophyceae;Calothrix;rhizosolenia	[4, 8770, 9629, 9782, 9842, 0, 0, 9850]	[4, 8770, 9629, 9782, 0, 0, 9934, 9938]
34		Eukaryote	Stramenopiles	Diatomea	Climacodium			Prokaryote	Cyanobacteria	Cyanophyceae	Crocosphaera	watsonii	Foster et al 2011	10.1038/ismej.2011.26	nitrogen fixation	Eukaryote;Stramenopiles;Diatomea;Climacodium	Bacteria;Cyanobacteria;Cyanophyceae;Crocosphaera;watsonii	[4, 8770, 9629, 9782, 0, 0, 0, 0]	[3, 1500, 44560, 44562, 44617, 44621]
35		Eukaryote	Stramenopiles	Diatomea	Hemiaulus	hauckii		Prokaryote	Cyanobacteria	Cyanophyceae	Richelia	intracellularis	Hilton 2013	10.1038/ncomms2748	nitrogen fixation	Eukaryote;Stramenopiles;Diatomea;Hemiaulus;hauckii	Bacteria;Cyanobacteria;Cyanophyceae;Richelia;intracellularis	[4, 8770, 9629, 9782, 0, 0, 0, 0]	[3, 1500, 44560, 0, 0, 0]
36		Eukaryote	Stramenopiles	Diatomea	Hemiaulus	membranaceus		Prokaryote	Cyanobacteria	Cyanophyceae	Richelia	intracellularis	Hilton 2013	10.1038/ncomms2748	nitrogen fixation	Eukaryote;Stramenopiles;Diatomea;Hemiaulus;membranaceus	Bacteria;Cyanobacteria;Cyanophyceae;Richelia;intracellularis	[4, 8770, 9629, 9782, 0, 0, 0, 0]	[3, 1500, 44560, 0, 0, 0]
37		Eukaryote	Stramenopiles	Diatomea	Hemiaulus	hauckii		Prokaryote	Cyanobacteria	Cyanophyceae	Richelia	intracellularis	Kimor et al. 1992	10.1093/plankt/14.9.1217	nitrogen fixation	Eukaryote;Stramenopiles;Diatomea;Hemiaulus;hauckii	Bacteria;Cyanobacteria;Cyanophyceae;Richelia;intracellularis	[4, 8770, 9629, 9782, 0, 0, 0, 0]	[3, 1500, 44560, 0, 0, 0]
38		Eukaryote	Stramenopiles	Diatomea	Rhizosolenia	hebetata		Prokaryote	Cyanobacteria	Cyanophyceae	Richelia	intracellularis	Kimor et al. 1992	10.1093/plankt/14.9.1217	nitrogen fixation	Eukaryote;Stramenopiles;Diatomea;Rhizosolenia;hebetata	Bacteria;Cyanobacteria;Cyanophyceae;Richelia;intracellularis	[4, 8770, 9629, 9782, 0, 0, 9934, 9938]	[3, 1500, 44560, 0, 0, 0]
39		Eukaryote	Stramenopiles	Diatomea	Hemiaulus	sinensis		Prokaryote	Cyanobacteria	Cyanophyceae	Richelia	intracellularis	Gárate-Lizárraga 2009	http://abm.ojs.inecol.mx/index.php/abm/article/view/311	nitrogen fixation	Eukaryote;Stramenopiles;Diatomea;Hemiaulus;sinensis	Bacteria;Cyanobacteria;Cyanophyceae;Richelia;intracellularis	[4, 8770, 9629, 9782, 0, 0, 0, 0]	[3, 1500, 44560, 0, 0, 0]
40		Eukaryote	Stramenopiles	Diatomea	Hemiaulus	hauckii		Prokaryote	Cyanobacteria	Cyanophyceae	Richelia	intracellularis	Gárate-Lizárraga 2009	http://abm.ojs.inecol.mx/index.php/abm/article/view/311	nitrogen fixation	Eukaryote;Stramenopiles;Diatomea;Hemiaulus;hauckii	Bacteria;Cyanobacteria;Cyanophyceae;Richelia;intracellularis	[4, 8770, 9629, 9782, 0, 0, 0, 0]	[3, 1500, 44560, 0, 0, 0]
41		Eukaryote	Alveolata	Dinoflagellata	Ornithocercus	thumii	GU196900	Prokaryote	Firmicutes	Clostridia	Caldicellulosiryptor		Farnelid 2010	10.3354/ame01440	nitrogen fixation	Eukaryote;Alveolata;Dinoflagellata;Ornithocercus;thumii	Bacteria;Firmicutes;Clostridia;Caldicellulosiryptor	[4, 8770, 8771, 9217, 9219, 9226, 0, 9229]	[3, 1672, 1859, 0, 0, 0]
42		Eukaryote	Alveolata	Dinoflagellata	Ornithocercus	thumii	GU196901	Prokaryote	Firmicutes	Clostridia	Caldicellulosiryptor		Farnelid 2010	10.3354/ame01440	nitrogen fixation	Eukaryote;Alveolata;Dinoflagellata;Ornithocercus;thumii	Bacteria;Firmicutes;Clostridia;Caldicellulosiryptor	[4, 8770, 8771, 9217, 9219, 9226, 0, 9229]	[3, 1672, 1859, 0, 0, 0]
43		Eukaryote	Alveolata	Dinoflagellata	Ornithocercus	thumii	GU196902	Prokaryote	Firmicutes	Clostridia	Caldicellulosiryptor		Farnelid 2010	10.3354/ame01440	nitrogen fixation	Eukaryote;Alveolata;Dinoflagellata;Ornithocercus;thumii	Bacteria;Firmicutes;Clostridia;Caldicellulosiryptor	[4, 8770, 8771, 9217, 9219, 9226, 0, 9229]	[3, 1672, 1859, 0, 0, 0]
44		Eukaryote	Alveolata	Dinoflagellata	Ornithocercus	thumii	GU196903	Prokaryote	Firmicutes	Clostridia	Caldicellulosiryptor		Farnelid 2010	10.3354/ame01440	nitrogen fixation	Eukaryote;Alveolata;Dinoflagellata;Ornithocercus;thumii	Bacteria;Firmicutes;Clostridia;Caldicellulosiryptor	[4, 8770, 8771, 9217, 9219, 9226, 0, 9229]	[3, 1672, 1859, 0, 0, 0]
45		Eukaryote	Alveolata	Dinoflagellata	Ornithocercus	thumii	GU196904	Prokaryote	Firmicutes	Clostridia	Caldicellulosiryptor		Farnelid 2010	10.3354/ame01440	nitrogen fixation	Eukaryote;Alveolata;Dinoflagellata;Ornithocercus;thumii	Bacteria;Firmicutes;Clostridia;Caldicellulosiryptor	[4, 8770, 8771, 9217, 9219, 9226, 0, 9229]	[3, 1672, 1859, 0, 0, 0]
46		Eukaryote	Alveolata	Dinoflagellata	Ornithocercus	thumii	GU196905	Prokaryote	Firmicutes	Clostridia	Caldicellulosiryptor		Farnelid 2010	10.3354/ame01440	nitrogen fixation	Eukaryote;Alveolata;Dinoflagellata;Ornithocercus;thumii	Bacteria;Firmicutes;Clostridia;Caldicellulosiryptor	[4, 8770, 8771, 9217, 9219, 9226, 0, 9229]	[3, 1672, 1859, 0, 0, 0]
47		Eukaryote	Alveolata	Dinoflagellata	Ornithocercus	thumii	GU196906	Prokaryote	Firmicutes	Clostridia	Caldicellulosiryptor		Farnelid 2010	10.3354/ame01440	nitrogen fixation	Eukaryote;Alveolata;Dinoflagellata;Ornithocercus;thumii	Bacteria;Firmicutes;Clostridia;Caldicellulosiryptor	[4, 8770, 8771, 9217, 9219, 9226, 0, 9229]	[3, 1672, 1859, 0, 0, 0]
48		Eukaryote	Alveolata	Dinoflagellata	Ornithocercus	thumii	GU196907	Prokaryote	Firmicutes	Clostridia	Caldicellulosiryptor		Farnelid 2010	10.3354/ame01440	nitrogen fixation	Eukaryote;Alveolata;Dinoflagellata;Ornithocercus;thumii	Bacteria;Firmicutes;Clostridia;Caldicellulosiryptor	[4, 8770, 8771, 9217, 9219, 9226, 0, 9229]	[3, 1672, 1859, 0, 0, 0]
49		Eukaryote	Alveolata	Dinoflagellata	Amphisolenia	bidentata		Prokaryote	Firmicutes	Clostridia	Caldicellulosiryptor		Farnelid 2010	10.3354/ame01440	nitrogen fixation	Eukaryote;Alveolata;Dinoflagellata;Amphisolenia;bidentata	Bacteria;Firmicutes;Clostridia;Caldicellulosiryptor	[4, 8770, 8771, 9217, 9219, 9226, 0, 9227]	[3, 1672, 1859, 0, 0, 0]
50		Eukaryote	Alveolata	Dinoflagellata	Histioneis	miniscula		Prokaryote	Cyanobacteria	Cyanophyceae	unknown_cyanophyte	unknown_cyanophyte	Gordon 1994	http://www.jstor.org/stable/24844780	nitrogen fixation	Eukaryote;Alveolata;Dinoflagellata;Histioneis;miniscula	Bacteria;Cyanobacteria;Cyanophyceae;unknown_cyanophyte;unknown_cyanophyte	[4, 8770, 8771, 9217, 0, 0, 0, 0]	[3, 1500, 44560, 0, 0, 0]
51		Eukaryote	Alveolata	Dinoflagellata	Histioneis	schillern		Prokaryote	Cyanobacteria	Cyanophyceae	unknown_cyanophyte	unknown_cyanophyte	Gordon 1994	http://www.jstor.org/stable/24844780	nitrogen fixation	Eukaryote;Alveolata;Dinoflagellata;Histioneis;schillern	Bacteria;Cyanobacteria;Cyanophyceae;unknown_cyanophyte;unknown_cyanophyte	[4, 8770, 8771, 9217, 0, 0, 0, 0]	[3, 1500, 44560, 0, 0, 0]
52		Eukaryote	Alveolata	Dinoflagellata	Histioneis	carinata		Prokaryote	Cyanobacteria	Cyanophyceae	unknown_cyanophyte	unknown_cyanophyte	Gordon 1994	http://www.jstor.org/stable/24844780	nitrogen fixation	Eukaryote;Alveolata;Dinoflagellata;Histioneis;carinata	Bacteria;Cyanobacteria;Cyanophyceae;unknown_cyanophyte;unknown_cyanophyte	[4, 8770, 8771, 9217, 0, 0, 0, 0]	[3, 1500, 44560, 0, 0, 0]
53		Eukaryote	Alveolata	Dinoflagellata	Histioneis	regius		Prokaryote	Cyanobacteria	Cyanophyceae	unknown_cyanophyte	unknown_cyanophyte	Gordon 1994	http://www.jstor.org/stable/24844780	nitrogen fixation	Eukaryote;Alveolata;Dinoflagellata;Histioneis;regius	Bacteria;Cyanobacteria;Cyanophyceae;unknown_cyanophyte;unknown_cyanophyte	[4, 8770, 8771, 9217, 0, 0, 0, 0]	[3, 1500, 44560, 0, 0, 0]
54		Eukaryote	Alveolata	Dinoflagellata	Histioneis	biremis		Prokaryote	Cyanobacteria	Cyanophyceae	unknown_cyanophyte	unknown_cyanophyte	Gordon 1994	http://www.jstor.org/stable/24844780	nitrogen fixation	Eukaryote;Alveolata;Dinoflagellata;Histioneis;biremis	Bacteria;Cyanobacteria;Cyanophyceae;unknown_cyanophyte;unknown_cyanophyte	[4, 8770, 8771, 9217, 0, 0, 0, 0]	[3, 1500, 44560, 0, 0, 0]
55		Eukaryote	Alveolata	Dinoflagellata	Ornithocercus	quadratus		Prokaryote	Cyanobacteria	Cyanophyceae	unknown_cyanophyte	unknown_cyanophyte	Gordon 1994	http://www.jstor.org/stable/24844780	nitrogen fixation	Eukaryote;Alveolata;Dinoflagellata;Ornithocercus;quadratus	Bacteria;Cyanobacteria;Cyanophyceae;unknown_cyanophyte;unknown_cyanophyte	[4, 8770, 8771, 9217, 9219, 9226, 0, 9229]	[3, 1500, 44560, 0, 0, 0]
56		Eukaryote	Alveolata	Dinoflagellata	Ornithocercus	splendidus		Prokaryote	Cyanobacteria	Cyanophyceae	unknown_cyanophyte	unknown_cyanophyte	Gordon 1994	http://www.jstor.org/stable/24844780	nitrogen fixation	Eukaryote;Alveolata;Dinoflagellata;Ornithocercus;splendidus	Bacteria;Cyanobacteria;Cyanophyceae;unknown_cyanophyte;unknown_cyanophyte	[4, 8770, 8771, 9217, 9219, 9226, 0, 9229]	[3, 1500, 44560, 0, 0, 0]
57		Eukaryote	Alveolata	Ciliophora	Codonella		AY587738	Prokaryote	Cyanobacteria	Cyanophyceae	Synechococcus		Foster et al. 2006 a	10.1111/j.1529-8817.2006.00185.x 	photosymbiosis	Eukaryote;Alveolata;Ciliophora;Codonella	Bacteria;Cyanobacteria;Cyanophyceae;Synechococcus	[4, 8770, 8771, 8848, 8849, 9096, 9097, 9100]	[3, 1500, 44560, 44842, 44845, 44848]
58		Eukaryote	Alveolata	Ciliophora	Codonella		AY587732	Prokaryote	Cyanobacteria	Cyanophyceae	unknown_cyanophyte	unknown_cyanophyte	Foster et al. 2006 a	10.1111/j.1529-8817.2006.00185.x	photosymbiosis	Eukaryote;Alveolata;Ciliophora;Codonella	Bacteria;Cyanobacteria;Cyanophyceae;unknown_cyanophyte;unknown_cyanophyte	[4, 8770, 8771, 8848, 8849, 9096, 9097, 9100]	[3, 1500, 44560, 0, 0, 0]
